	83078511	83078629	Gm24884	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]	ENSMUSG00000089409
prenatal lethality prior to heart atrial septation	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
preweaning lethality complete penetrance	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
cellular response to insulin stimulus	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
establishment of protein localization to plasma membrane	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
	74663683	74664335	Gm11254	predicted gene 11254 [Source:MGI Symbol;Acc:MGI:3649979]	ENSMUSG00000081438
	74688107	74689324	Gm11258	predicted gene 11258 [Source:MGI Symbol;Acc:MGI:3649983]	ENSMUSG00000083659
decreased circulating insulin level	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal pancreatic beta cell morphology	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal cell cycle	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal pancreatic islet morphology	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal cell morphology	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
increased insulin sensitivity	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal cell physiology	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
decreased insulin secretion	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal hepatocyte morphology	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
impaired glucose tolerance	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
G1/S transition of mitotic cell cycle	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
T cell differentiation in thymus	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
T cell proliferation involved in immune response	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
decreased activation-induced cell death of T cells	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
enucleate erythrocyte development	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
cell migration involved in gastrulation	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
mitotic cell cycle checkpoint	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
mitotic nuclear division	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
negative regulation of apoptotic process	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
oogenesis stage	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
abnormal placenta development	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
rRNA processing	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
ribosomal small subunit biogenesis	86854660	86857412	Rps6	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ENSMUSG00000028495
	75081500	75081700	Gm11253	predicted gene 11253 [Source:MGI Symbol;Acc:MGI:3649981]	ENSMUSG00000082533
	75128712	75129026	Gm11257	predicted gene 11257 [Source:MGI Symbol;Acc:MGI:3649985]	ENSMUSG00000084311
	75147609	75148989	Gm12912	predicted gene 12912 [Source:MGI Symbol;Acc:MGI:3649320]	ENSMUSG00000081067
	75277354	75278305	Tmem261	transmembrane protein 261 [Source:MGI Symbol;Acc:MGI:1914178]	ENSMUSG00000028398
	86874396	86934822	Acer2	alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]	ENSMUSG00000038007
	75324501	75325680	Gm11255	predicted gene 11255 [Source:MGI Symbol;Acc:MGI:3649873]	ENSMUSG00000083224
	75380760	75381474	Gm11259	predicted gene 11259 [Source:MGI Symbol;Acc:MGI:3649975]	ENSMUSG00000084026
	75854518	75855346	Gm11256	predicted gene 11256 [Source:MGI Symbol;Acc:MGI:3650655]	ENSMUSG00000084253
	75902260	75903155	Gm11241	predicted gene 11241 [Source:MGI Symbol;Acc:MGI:3652121]	ENSMUSG00000081844
abnormal motor learning	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
abnormal long term depression	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
reduced long term potentiation	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
abnormal spatial learning	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
abnormal calcium ion homeostasis	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
cellular calcium ion homeostasis	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
impaired spatial learning	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
long term synaptic depression	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
long-term synaptic potentiation	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
fast extinction of fear memory	86983124	87230477	Slc24a2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	ENSMUSG00000037996
	87298362	87301270	Gm12600	predicted gene 12600 [Source:MGI Symbol;Acc:MGI:3651471]	ENSMUSG00000086512
	87580789	87581560	Gm12604	predicted gene 12604 [Source:MGI Symbol;Acc:MGI:3651368]	ENSMUSG00000082443
increased circulating alanine transaminase level	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
increased circulating alanine transaminase level	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
preweaning lethality complete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
preweaning lethality complete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
hyperactivity	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
hyperactivity	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
postnatal lethality complete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
perinatal lethality incomplete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
preweaning lethality complete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
decreased rib number	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
thoracic vertebral transformation	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal sternum ossification	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal cervical vertebrae morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
vertebral transformation	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal vertebral column morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal developmental patterning	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
decreased body size	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
asymmetric rib-sternum attachment	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal cervical rib	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
decreased thoracic vertebrae number	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal thoracic vertebrae morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal cervical atlas morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
cervical vertebral transformation	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal sternum morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal cervical axis morphology	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
neonatal lethality incomplete penetrance	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
cervical vertebral fusion	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
abnormal spine curvature	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
anterior/posterior pattern specification	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
segment specification	87769925	88033364	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	ENSMUSG00000028496
	88033501	88034998	Gm12631	predicted gene 12631 [Source:MGI Symbol;Acc:MGI:3650969]	ENSMUSG00000084809
	76927311	76927655	Gm11246	predicted gene 11246 [Source:MGI Symbol;Acc:MGI:3651881]	ENSMUSG00000081656
	76451231	76490113	RP24-316B1.1		ENSMUSG00000110373
	76811555	76811791	Gm11244	predicted gene 11244 [Source:MGI Symbol;Acc:MGI:3651883]	ENSMUSG00000081936
enhanced long term potentiation	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
abnormal spatial learning	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
impaired swimming	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
enhanced paired-pulse facilitation	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
premature death	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
abnormal eating behavior	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
decreased body weight	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
negative regulation of JAK-STAT cascade	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
positive regulation of dendrite morphogenesis	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
presynaptic membrane assembly	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
positive regulation of immune response	75941238	78211961	Ptprd	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	ENSMUSG00000028399
	78211955	78214177	B230208B08Rik	RIKEN cDNA B230208B08 gene [Source:MGI Symbol;Acc:MGI:2442149]	ENSMUSG00000092492
	76793729	76794122	Gm11243	predicted gene 11243 [Source:MGI Symbol;Acc:MGI:3652116]	ENSMUSG00000081890
	76393154	76394092	Gm11252	predicted gene 11252 [Source:MGI Symbol;Acc:MGI:3651309]	ENSMUSG00000080780
	76837779	76838815	Gm11245	predicted gene 11245 [Source:MGI Symbol;Acc:MGI:3651884]	ENSMUSG00000084090
	76692143	76694599	Gm11242	predicted gene 11242 [Source:MGI Symbol;Acc:MGI:3652117]	ENSMUSG00000083050
	81278500	81442815	Mpdz	multiple PDZ domain protein [Source:MGI Symbol;Acc:MGI:1343489]	ENSMUSG00000028402
	81455943	81461732	Gm11765	predicted gene 11765 [Source:MGI Symbol;Acc:MGI:3651002]	ENSMUSG00000081391
	81696441	81697159	Gm11411	predicted gene 11411 [Source:MGI Symbol;Acc:MGI:3650904]	ENSMUSG00000083385
	81743146	81746701	Gm11412	predicted gene 11412 [Source:MGI Symbol;Acc:MGI:3650905]	ENSMUSG00000087540
	81930478	81932374	Gm12914	predicted gene 12914 [Source:MGI Symbol;Acc:MGI:3650483]	ENSMUSG00000087608
	82033312	82065890	Gm11264	predicted gene 11264 [Source:MGI Symbol;Acc:MGI:3649480]	ENSMUSG00000087110
	82065431	82102808	Gm5860	predicted gene 5860 [Source:MGI Symbol;Acc:MGI:3646172]	ENSMUSG00000085022
	82508016	82547292	Gm11266	predicted gene 11266 [Source:MGI Symbol;Acc:MGI:3649705]	ENSMUSG00000087413
	82585048	82587319	Gm11267	predicted gene 11267 [Source:MGI Symbol;Acc:MGI:3649847]	ENSMUSG00000084851
increased wet-to-dry lung weight ratio	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal lung morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
impaired branching involved in terminal bronchiole morphogenesis	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
respiratory distress	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
atelectasis	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal lung development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
pulmonary hypoplasia	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
failure of eyelid fusion	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
cyanosis	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal respiration	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
eyelids open at birth	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal respiratory system physiology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
absent cerebellar foliation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal hippocampal fimbria morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
absent lung saccules	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal major salivary gland morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
decreased fetal size	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
absent dentate gyrus	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal cerebellar granule cell morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal glial cell morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal hippocampus development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
decreased submandibular gland size	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
submandibular gland hypoplasia	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
enlarged brain ventricles	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal pons morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal hippocampus CA3 region morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
absent corpus callosum	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
absent hippocampus CA3 region	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
neonatal lethality complete penetrance	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
respiratory failure	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal pulmonary alveolus epithelial cell morphology	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal craniofacial development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal submandibular gland development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
Clara cell differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
Type I pneumocyte differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
